6010,3925
814,959
814,68
5737,244311
5737,1033
7784,1030
814,311820
5737,9810420
7784,1402249
10942,4195
3862,9962076
6010,55551
13411,152369
5737,6081632
5737,2689
3862,1275239
814,12088868
10942,27
3444,179798
3444,378392
13969,175
13969,8106
13969,1036369
13969,4505
5924,71030
5924,153085
13969,4791
3444,75491
13969,480
13969,77885
3444,145
612,142013
13969,4331
13969,887535
7403,7965
13969,7042
13969,887
13969,303712
3444,74309
3444,393
13969,75798
13969,277491
3444,378
3444,144227
5924,264933
13969,1613900
3444,810751
13969,788735
13969,1096
13969,1192
829,762
1244,190935
1762,800
1762,377827
1762,2519
12434,493
12434,9911
829,289345
1762,275373
3212,27
3212,3566
8113,3
12434,289345
1244,305969
1762,15969
6135,630
8113,142381
1244,106
1244,421297
1244,477858
8113,81
8113,157640
8113,282361
6135,10774
8113,9
8113,4102024
829,75222
1762,323
807,641
829,69627
1244,6405
807,106574
1244,142381
8113,17026
1244,1407074
1244,3592731
13969,13375
13969,863833
7403,471493
5924,317422
13969,3905
5924,15375
13969,3128
7403,973
5924,56207
10963,5012881
13969,1805
13969,258850
10963,4237
13969,97572
